id,location,year,rate
01001,"Autauga County, AL",2009,9.7     
01003,"Baldwin County, AL",2009,9.8     
01005,"Barbour County, AL",2009,14.3     
01007,"Bibb County, AL",2009,13.3     
01009,"Blount County, AL",2009,10.0     
01011,"Bullock County, AL",2009,15.6     
01013,"Butler County, AL",2009,16.4     
01015,"Calhoun County, AL",2009,11.1     
01017,"Chambers County, AL",2009,19.6     
01019,"Cherokee County, AL",2009,11.7     
01021,"Chilton County, AL",2009,10.6     
01023,"Choctaw County, AL",2009,13.5     
01025,"Clarke County, AL",2009,16.5     
01027,"Clay County, AL",2009,16.7     
01029,"Cleburne County, AL",2009,10.2     
01031,"Coffee County, AL",2009,8.5     
01033,"Colbert County, AL",2009,11.6     
01035,"Conecuh County, AL",2009,19.9     
01037,"Coosa County, AL",2009,16.0     
01039,"Covington County, AL",2009,10.8     
01041,"Crenshaw County, AL",2009,10.4     
01043,"Cullman County, AL",2009,10.3     
01045,"Dale County, AL",2009,9.6     
01047,"Dallas County, AL",2009,21.1     
01049,"DeKalb County, AL",2009,14.3     
01051,"Elmore County, AL",2009,9.5     
01053,"Escambia County, AL",2009,13.5     
01055,"Etowah County, AL",2009,11.5     
01057,"Fayette County, AL",2009,14.0     
01059,"Franklin County, AL",2009,13.4     
01061,"Geneva County, AL",2009,10.8     
01063,"Greene County, AL",2009,15.3     
01065,"Hale County, AL",2009,14.3     
01067,"Henry County, AL",2009,11.2     
01069,"Houston County, AL",2009,9.3     
01071,"Jackson County, AL",2009,12.8     
01073,"Jefferson County, AL",2009,10.8     
01075,"Lamar County, AL",2009,16.0     
01077,"Lauderdale County, AL",2009,10.7     
01079,"Lawrence County, AL",2009,13.6     
01081,"Lee County, AL",2009,9.4     
01083,"Limestone County, AL",2009,9.8     
01085,"Lowndes County, AL",2009,19.3     
01087,"Macon County, AL",2009,12.2     
01089,"Madison County, AL",2009,8.0     
01091,"Marengo County, AL",2009,14.2     
01093,"Marion County, AL",2009,16.6     
01095,"Marshall County, AL",2009,10.2     
01097,"Mobile County, AL",2009,11.3     
01099,"Monroe County, AL",2009,19.5     
01101,"Montgomery County, AL",2009,10.5     
01103,"Morgan County, AL",2009,10.8     
01105,"Perry County, AL",2009,19.9     
01107,"Pickens County, AL",2009,13.7     
01109,"Pike County, AL",2009,9.5     
01111,"Randolph County, AL",2009,14.9     
01113,"Russell County, AL",2009,12.3     
01115,"St. Clair County, AL",2009,10.9     
01117,"Shelby County, AL",2009,7.8     
01119,"Sumter County, AL",2009,14.9     
01121,"Talladega County, AL",2009,14.4     
01123,"Tallapoosa County, AL",2009,13.6     
01125,"Tuscaloosa County, AL",2009,10.2     
01127,"Walker County, AL",2009,11.6     
01129,"Washington County, AL",2009,15.1     
01131,"Wilcox County, AL",2009,26.0     
01133,"Winston County, AL",2009,17.7     
02013,"Aleutians East Borough, AK",2009,9.9     
02016,"Aleutians West Census Area, AK",2009,7.0     
02020,"Anchorage Borough/municipality, AK",2009,6.5     
02050,"Bethel Census Area, AK",2009,14.1     
02060,"Bristol Bay Borough, AK",2009,4.8     
02068,"Denali Borough, AK",2009,8.3     
02070,"Dillingham Census Area, AK",2009,10.2     
02090,"Fairbanks North Star Borough, AK",2009,7.1     
02100,"Haines Borough, AK",2009,9.0     
02110,"Juneau Borough/city, AK",2009,5.9     
02122,"Kenai Peninsula Borough, AK",2009,9.8     
02130,"Ketchikan Gateway Borough, AK",2009,7.1     
02150,"Kodiak Island Borough, AK",2009,7.1     
02158,"Kusilvak Census Area, AK",2009,20.8     
02164,"Lake and Peninsula Borough, AK",2009,8.1     
02170,"Matanuska-Susitna Borough, AK",2009,8.9     
02180,"Nome Census Area, AK",2009,11.7     
02185,"North Slope Borough, AK",2009,4.7     
02188,"Northwest Arctic Borough, AK",2009,11.9     
02201,"Prince of Wales-Outer Ketchikan Census Area, AK",2009,15.2     
02220,"Sitka Borough/city, AK",2009,6.2     
02232,"Skagway-Hoonah-Angoon Census Area, AK",2009,14.7     
02240,"Southeast Fairbanks Census Area, AK",2009,9.6     
02261,"Valdez-Cordova Census Area, AK",2009,8.5     
02280,"Wrangell-Petersburg Census Area, AK",2009,10.4     
02282,"Yakutat Borough/city, AK",2009,11.5     
02290,"Yukon-Koyukuk Census Area, AK",2009,14.1     
04001,"Apache County, AZ",2009,15.8     
04003,"Cochise County, AZ",2009,8.0     
04005,"Coconino County, AZ",2009,8.5     
04007,"Gila County, AZ",2009,11.4     
04009,"Graham County, AZ",2009,15.0     
04011,"Greenlee County, AZ",2009,18.9     
04012,"La Paz County, AZ",2009,9.9     
04013,"Maricopa County, AZ",2009,9.1     
04015,"Mohave County, AZ",2009,11.4     
04017,"Navajo County, AZ",2009,15.3     
04019,"Pima County, AZ",2009,9.1     
04021,"Pinal County, AZ",2009,12.3     
04023,"Santa Cruz County, AZ",2009,15.8     
04025,"Yavapai County, AZ",2009,10.5     
04027,"Yuma County, AZ",2009,23.0     
05001,"Arkansas County, AR",2009,15.7     
05003,"Ashley County, AR",2009,10.5     
05005,"Baxter County, AR",2009,9.3     
05007,"Benton County, AR",2009,6.4     
05009,"Boone County, AR",2009,7.5     
05011,"Bradley County, AR",2009,9.8     
05013,"Calhoun County, AR",2009,8.4     
05015,"Carroll County, AR",2009,6.1     
05017,"Chicot County, AR",2009,11.1     
05019,"Clark County, AR",2009,8.1     
05021,"Clay County, AR",2009,11.3     
05023,"Cleburne County, AR",2009,7.5     
05025,"Cleveland County, AR",2009,8.1     
05027,"Columbia County, AR",2009,9.7     
05029,"Conway County, AR",2009,7.5     
05031,"Craighead County, AR",2009,7.0     
05033,"Crawford County, AR",2009,7.8     
05035,"Crittenden County, AR",2009,10.9     
05037,"Cross County, AR",2009,8.4     
05039,"Dallas County, AR",2009,10.2     
05041,"Desha County, AR",2009,11.3     
05043,"Drew County, AR",2009,11.0     
05045,"Faulkner County, AR",2009,6.9     
05047,"Franklin County, AR",2009,7.3     
05049,"Fulton County, AR",2009,7.5     
05051,"Garland County, AR",2009,7.6     
05053,"Grant County, AR",2009,7.1     
05055,"Greene County, AR",2009,10.1     
05057,"Hempstead County, AR",2009,8.3     
05059,"Hot Spring County, AR",2009,8.6     
05061,"Howard County, AR",2009,8.0     
05063,"Independence County, AR",2009,8.8     
05065,"Izard County, AR",2009,9.2     
05067,"Jackson County, AR",2009,10.9     
05069,"Jefferson County, AR",2009,9.8     
05071,"Johnson County, AR",2009,7.2     
05073,"Lafayette County, AR",2009,9.5     
05075,"Lawrence County, AR",2009,9.2     
05077,"Lee County, AR",2009,9.2     
05079,"Lincoln County, AR",2009,9.9     
05081,"Little River County, AR",2009,6.0     
05083,"Logan County, AR",2009,9.2     
05085,"Lonoke County, AR",2009,6.3     
05087,"Madison County, AR",2009,6.8     
05089,"Marion County, AR",2009,11.8     
05091,"Miller County, AR",2009,5.6     
05093,"Mississippi County, AR",2009,13.9     
05095,"Monroe County, AR",2009,8.1     
05097,"Montgomery County, AR",2009,7.1     
05099,"Nevada County, AR",2009,9.3     
05101,"Newton County, AR",2009,8.0     
05103,"Ouachita County, AR",2009,8.0     
05105,"Perry County, AR",2009,7.9     
05107,"Phillips County, AR",2009,9.5     
05109,"Pike County, AR",2009,7.7     
05111,"Poinsett County, AR",2009,8.9     
05113,"Polk County, AR",2009,7.6     
05115,"Pope County, AR",2009,7.5     
05117,"Prairie County, AR",2009,7.9     
05119,"Pulaski County, AR",2009,6.7     
05121,"Randolph County, AR",2009,9.2     
05123,"St. Francis County, AR",2009,10.4     
05125,"Saline County, AR",2009,6.6     
05127,"Scott County, AR",2009,6.8     
05129,"Searcy County, AR",2009,7.7     
05131,"Sebastian County, AR",2009,7.6     
05133,"Sevier County, AR",2009,5.9     
05135,"Sharp County, AR",2009,9.2     
05137,"Stone County, AR",2009,8.8     
05139,"Union County, AR",2009,10.3     
05141,"Van Buren County, AR",2009,10.5     
05143,"Washington County, AR",2009,6.3     
05145,"White County, AR",2009,8.2     
05147,"Woodruff County, AR",2009,11.0     
05149,"Yell County, AR",2009,8.2     
06001,"Alameda County, CA",2009,10.3     
06003,"Alpine County, CA",2009,14.1     
06005,"Amador County, CA",2009,11.4     
06007,"Butte County, CA",2009,12.3     
06009,"Calaveras County, CA",2009,13.6     
06011,"Colusa County, CA",2009,17.6     
06013,"Contra Costa County, CA",2009,10.0     
06015,"Del Norte County, CA",2009,11.8     
06017,"El Dorado County, CA",2009,10.9     
06019,"Fresno County, CA",2009,14.7     
06021,"Glenn County, CA",2009,14.1     
06023,"Humboldt County, CA",2009,10.7     
06025,"Imperial County, CA",2009,27.4     
06027,"Inyo County, CA",2009,9.0     
06029,"Kern County, CA",2009,14.1     
06031,"Kings County, CA",2009,14.2     
06033,"Lake County, CA",2009,15.0     
06035,"Lassen County, CA",2009,12.3     
06037,"Los Angeles County, CA",2009,11.6     
06039,"Madera County, CA",2009,13.4     
06041,"Marin County, CA",2009,7.5     
06043,"Mariposa County, CA",2009,10.3     
06045,"Mendocino County, CA",2009,10.0     
06047,"Merced County, CA",2009,16.6     
06049,"Modoc County, CA",2009,12.1     
06051,"Mono County, CA",2009,8.8     
06053,"Monterey County, CA",2009,11.5     
06055,"Napa County, CA",2009,8.4     
06057,"Nevada County, CA",2009,10.3     
06059,"Orange County, CA",2009,8.7     
06061,"Placer County, CA",2009,10.2     
06063,"Plumas County, CA",2009,15.4     
06065,"Riverside County, CA",2009,13.1     
06067,"Sacramento County, CA",2009,11.0     
06069,"San Benito County, CA",2009,14.0     
06071,"San Bernardino County, CA",2009,12.7     
06073,"San Diego County, CA",2009,9.4     
06075,"San Francisco County/city, CA",2009,8.7     
06077,"San Joaquin County, CA",2009,14.9     
06079,"San Luis Obispo County, CA",2009,8.8     
06081,"San Mateo County, CA",2009,8.2     
06083,"Santa Barbara County, CA",2009,8.2     
06085,"Santa Clara County, CA",2009,10.6     
06087,"Santa Cruz County, CA",2009,11.1     
06089,"Shasta County, CA",2009,14.3     
06091,"Sierra County, CA",2009,14.9     
06093,"Siskiyou County, CA",2009,14.2     
06095,"Solano County, CA",2009,10.4     
06097,"Sonoma County, CA",2009,9.4     
06099,"Stanislaus County, CA",2009,15.5     
06101,"Sutter County, CA",2009,16.5     
06103,"Tehama County, CA",2009,13.6     
06105,"Trinity County, CA",2009,16.8     
06107,"Tulare County, CA",2009,14.9     
06109,"Tuolumne County, CA",2009,12.2     
06111,"Ventura County, CA",2009,9.6     
06113,"Yolo County, CA",2009,11.0     
06115,"Yuba County, CA",2009,16.8     
08001,"Adams County, CO",2009,8.5     
08003,"Alamosa County, CO",2009,6.3     
08005,"Arapahoe County, CO",2009,7.3     
08007,"Archuleta County, CO",2009,7.5     
08009,"Baca County, CO",2009,3.7     
08011,"Bent County, CO",2009,6.5     
08013,"Boulder County, CO",2009,6.1     
08014,"Broomfield County/city, CO",2009,6.9     
08015,"Chaffee County, CO",2009,6.3     
08017,"Cheyenne County, CO",2009,2.6     
08019,"Clear Creek County, CO",2009,7.2     
08021,"Conejos County, CO",2009,7.4     
08023,"Costilla County, CO",2009,9.1     
08025,"Crowley County, CO",2009,8.6     
08027,"Custer County, CO",2009,6.2     
08029,"Delta County, CO",2009,7.1     
08031,"Denver County/city, CO",2009,8.1     
08033,"Dolores County, CO",2009,13.1     
08035,"Douglas County, CO",2009,6.2     
08037,"Eagle County, CO",2009,7.0     
08039,"Elbert County, CO",2009,7.0     
08041,"El Paso County, CO",2009,7.9     
08043,"Fremont County, CO",2009,8.5     
08045,"Garfield County, CO",2009,7.0     
08047,"Gilpin County, CO",2009,6.0     
08049,"Grand County, CO",2009,6.7     
08051,"Gunnison County, CO",2009,5.4     
08053,"Hinsdale County, CO",2009,3.2     
08055,"Huerfano County, CO",2009,8.7     
08057,"Jackson County, CO",2009,4.1     
08059,"Jefferson County, CO",2009,7.1     
08061,"Kiowa County, CO",2009,4.2     
08063,"Kit Carson County, CO",2009,3.9     
08065,"Lake County, CO",2009,8.6     
08067,"La Plata County, CO",2009,5.4     
08069,"Larimer County, CO",2009,6.3     
08071,"Las Animas County, CO",2009,8.1     
08073,"Lincoln County, CO",2009,4.1     
08075,"Logan County, CO",2009,5.0     
08077,"Mesa County, CO",2009,8.4     
08079,"Mineral County, CO",2009,6.7     
08081,"Moffat County, CO",2009,6.2     
08083,"Montezuma County, CO",2009,7.3     
08085,"Montrose County, CO",2009,8.1     
08087,"Morgan County, CO",2009,5.4     
08089,"Otero County, CO",2009,6.8     
08091,"Ouray County, CO",2009,5.6     
08093,"Park County, CO",2009,7.0     
08095,"Phillips County, CO",2009,3.6     
08097,"Pitkin County, CO",2009,6.0     
08099,"Prowers County, CO",2009,5.8     
08101,"Pueblo County, CO",2009,8.2     
08103,"Rio Blanco County, CO",2009,4.9     
08105,"Rio Grande County, CO",2009,6.1     
08107,"Routt County, CO",2009,6.5     
08109,"Saguache County, CO",2009,8.0     
08111,"San Juan County, CO",2009,7.4     
08113,"San Miguel County, CO",2009,5.9     
08115,"Sedgwick County, CO",2009,3.7     
08117,"Summit County, CO",2009,6.1     
08119,"Teller County, CO",2009,7.5     
08121,"Washington County, CO",2009,4.0     
08123,"Weld County, CO",2009,8.2     
08125,"Yuma County, CO",2009,3.3     
09001,"Fairfield County, CT",2009,7.5     
09003,"Hartford County, CT",2009,8.3     
09005,"Litchfield County, CT",2009,7.9     
09007,"Middlesex County, CT",2009,6.7     
09009,"New Haven County, CT",2009,8.6     
09011,"New London County, CT",2009,7.5     
09013,"Tolland County, CT",2009,6.6     
09015,"Windham County, CT",2009,8.8     
10001,"Kent County, DE",2009,8.1     
10003,"New Castle County, DE",2009,8.3     
10005,"Sussex County, DE",2009,8.2     
11001,District of Columbia,2009,9.3     
12001,"Alachua County, FL",2009,7.1     
12003,"Baker County, FL",2009,10.1     
12005,"Bay County, FL",2009,9.1     
12007,"Bradford County, FL",2009,8.1     
12009,"Brevard County, FL",2009,10.4     
12011,"Broward County, FL",2009,9.1     
12013,"Calhoun County, FL",2009,8.5     
12015,"Charlotte County, FL",2009,11.9     
12017,"Citrus County, FL",2009,12.1     
12019,"Clay County, FL",2009,9.3     
12021,"Collier County, FL",2009,11.1     
12023,"Columbia County, FL",2009,9.3     
12027,"DeSoto County, FL",2009,10.1     
12029,"Dixie County, FL",2009,11.4     
12031,"Duval County, FL",2009,10.5     
12033,"Escambia County, FL",2009,9.9     
12035,"Flagler County, FL",2009,14.7     
12037,"Franklin County, FL",2009,7.4     
12039,"Gadsden County, FL",2009,10.0     
12041,"Gilchrist County, FL",2009,9.3     
12043,"Glades County, FL",2009,9.3     
12045,"Gulf County, FL",2009,9.6     
12047,"Hamilton County, FL",2009,11.2     
12049,"Hardee County, FL",2009,10.5     
12051,"Hendry County, FL",2009,14.2     
12053,"Hernando County, FL",2009,13.3     
12055,"Highlands County, FL",2009,10.8     
12057,"Hillsborough County, FL",2009,10.6     
12059,"Holmes County, FL",2009,8.0     
